Model,MSO2014
Firmware Version,1.35

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.04,
Sample Interval,3.2e-06,
Filter Frequency,4.2e+07,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.31200e-01,-5.3,-5.3
-1.31197e-01,-5.5,-5.7
-1.31194e-01,-5.5,-5.3
-1.31190e-01,-5.5,-5.7
-1.31187e-01,-5.5,-5.3
-1.31184e-01,-5.5,-5.7
-1.31181e-01,-5.5,-5.3
-1.31178e-01,-5.5,-5.5
-1.31174e-01,-5.3,-5.1
-1.31171e-01,-5.3,-5.5
-1.31168e-01,-5.3,-5.3
-1.31165e-01,-5.3,-5.5
-1.31162e-01,-5.5,-5.3
-1.31158e-01,-5.3,-5.5
-1.31155e-01,-5.3,-5.3
-1.31152e-01,-5.3,-5.5
-1.31149e-01,-5.3,-5.1
-1.31146e-01,-5.3,-5.7
-1.31142e-01,-5.3,-5.1
-1.31139e-01,-5.3,-5.5
-1.31136e-01,-5.3,-5.1
-1.31133e-01,-5.3,-5.5
-1.31130e-01,-5.3,-5.1
-1.31126e-01,-5.3,-5.5
-1.31123e-01,-5.3,-5.1
-1.31120e-01,-5.3,-5.5
-1.31117e-01,-5.3,-5.1
-1.31114e-01,-5.3,-5.5
-1.31110e-01,-5.3,-5.1
-1.31107e-01,-5.3,-5.5
-1.31104e-01,-5.3,-5.1
-1.31101e-01,-5.3,-5.5
-1.31098e-01,-5.3,-5.1
-1.31094e-01,-5.3,-5.5
-1.31091e-01,-5.3,-5.1
-1.31088e-01,-5.3,-5.5
-1.31085e-01,-5.3,-5.1
-1.31082e-01,-5.3,-5.5
-1.31078e-01,-5.3,-5.1
-1.31075e-01,-5.3,-5.5
-1.31072e-01,-5.3,-5.1
-1.31069e-01,-5.3,-5.5
-1.31066e-01,-5.3,-5.1
-1.31062e-01,-5.3,-5.5
-1.31059e-01,-5.3,-5.1
-1.31056e-01,-5.3,-5.5
-1.31053e-01,-5.5,-5.1
-1.31050e-01,-5.5,-5.7
-1.31046e-01,-5.5,-5.1
-1.31043e-01,-5.5,-5.7
-1.31040e-01,-5.5,-5.3
-1.31037e-01,-5.5,-5.7
-1.31034e-01,-5.5,-5.3
-1.31030e-01,-5.5,-5.7
-1.31027e-01,-5.3,-5.3
-1.31024e-01,-5.5,-5.7
-1.31021e-01,-5.5,-5.3
-1.31018e-01,-5.5,-5.7
-1.31014e-01,-5.3,-5.3
-1.31011e-01,-5.5,-5.7
-1.31008e-01,-5.3,-5.3
-1.31005e-01,-5.5,-5.7
-1.31002e-01,-5.3,-5.3
-1.30998e-01,-5.3,-5.7
-1.30995e-01,-5.3,-5.3
-1.30992e-01,-5.5,-5.7
-1.30989e-01,-5.3,-5.3
-1.30986e-01,-5.3,-5.7
-1.30982e-01,-5.3,-5.3
-1.30979e-01,-5.5,-5.7
-1.30976e-01,-5.3,-5.3
-1.30973e-01,-5.3,-5.5
-1.30970e-01,-5.5,-5.3
-1.30966e-01,-5.3,-5.7
-1.30963e-01,-5.3,-5.3
-1.30960e-01,-5.5,-5.5
-1.30957e-01,-5.3,-5.3
-1.30954e-01,-5.5,-5.5
-1.30950e-01,-5.3,-5.3
-1.30947e-01,-5.3,-5.5
-1.30944e-01,-5.3,-5.1
-1.30941e-01,-5.3,-5.5
-1.30938e-01,-5.3,-5.1
-1.30934e-01,-5.3,-5.5
-1.30931e-01,-5.3,-5.1
-1.30928e-01,-5.3,-5.5
-1.30925e-01,-5.3,-5.1
-1.30922e-01,-5.3,-5.5
-1.30918e-01,-5.3,-5.1
-1.30915e-01,-5.3,-5.5
-1.30912e-01,-5.3,-5.1
-1.30909e-01,-5.3,-5.5
-1.30906e-01,-5.3,-5.1
-1.30902e-01,-5.3,-5.5
-1.30899e-01,-5.3,-5.1
-1.30896e-01,-5.3,-5.5
-1.30893e-01,-5.3,-5.1
-1.30890e-01,-5.3,-5.5
-1.30886e-01,-5.3,-5.1
-1.30883e-01,-5.3,-5.5
-1.30880e-01,-5.3,-5.1
-1.30877e-01,-5.3,-5.5
-1.30874e-01,-5.3,-5.1
-1.30870e-01,-5.3,-5.5
-1.30867e-01,-5.3,-5.1
-1.30864e-01,-5.3,-5.5
-1.30861e-01,-5.3,-5.1
-1.30858e-01,-5.5,-5.5
-1.30854e-01,-5.5,-5.1
-1.30851e-01,-5.5,-5.7
-1.30848e-01,-5.5,-5.1
-1.30845e-01,-5.5,-5.7
-1.30842e-01,-5.5,-5.3
-1.30838e-01,-5.5,-5.7
-1.30835e-01,-5.5,-5.3
-1.30832e-01,-5.5,-5.7
-1.30829e-01,-5.5,-5.3
-1.30826e-01,-5.5,-5.7
-1.30822e-01,-5.5,-5.3
-1.30819e-01,-5.5,-5.7
-1.30816e-01,-5.5,-5.3
-1.30813e-01,-5.5,-5.7
-1.30810e-01,-5.5,-5.1
-1.30806e-01,-5.5,-5.7
-1.30803e-01,-5.5,-5.3
-1.30800e-01,-5.5,-5.7
-1.30797e-01,-5.5,-5.3
-1.30794e-01,-5.3,-5.7
-1.30790e-01,-5.5,-5.3
-1.30787e-01,-5.3,-5.5
-1.30784e-01,-5.5,-5.3
-1.30781e-01,-5.3,-5.7
-1.30778e-01,-5.3,-5.1
-1.30774e-01,-5.3,-5.5
-1.30771e-01,-5.3,-5.1
-1.30768e-01,-5.3,-5.5
-1.30765e-01,-5.3,-5.1
-1.30762e-01,-5.3,-5.5
-1.30758e-01,-5.3,-5.1
-1.30755e-01,-5.3,-5.5
-1.30752e-01,-5.3,-5.1
-1.30749e-01,-5.3,-5.5
-1.30746e-01,-5.3,-5.1
-1.30742e-01,-5.3,-5.5
-1.30739e-01,-5.3,-5.1
-1.30736e-01,-5.3,-5.5
-1.30733e-01,-5.3,-5.1
-1.30730e-01,-5.3,-5.5
-1.30726e-01,-5.3,-5.1
-1.30723e-01,-5.3,-5.5
-1.30720e-01,-5.3,-5.1
-1.30717e-01,-5.3,-5.5
-1.30714e-01,-5.3,-5.1
-1.30710e-01,-5.3,-5.5
-1.30707e-01,-5.3,-5.1
-1.30704e-01,-5.3,-5.5
-1.30701e-01,-5.3,-5.1
-1.30698e-01,-5.3,-5.5
-1.30694e-01,-5.3,-5.1
-1.30691e-01,-5.3,-5.5
-1.30688e-01,-5.3,-5.1
-1.30685e-01,-5.3,-5.5
-1.30682e-01,-5.3,-5.1
-1.30678e-01,-5.3,-5.5
-1.30675e-01,-5.3,-5.1
-1.30672e-01,-5.3,-5.5
-1.30669e-01,-5.3,-5.1
-1.30666e-01,-5.5,-5.5
-1.30662e-01,-5.5,-5.1
-1.30659e-01,-5.5,-5.7
-1.30656e-01,-5.5,-5.1
-1.30653e-01,-5.5,-5.7
-1.30650e-01,-5.5,-5.3
-1.30646e-01,-5.5,-5.7
-1.30643e-01,-5.5,-5.3
-1.30640e-01,-5.3,-5.7
-1.30637e-01,-5.5,-5.3
-1.30634e-01,-5.3,-5.7
-1.30630e-01,-5.3,-5.3
-1.30627e-01,-5.3,-5.7
-1.30624e-01,-5.5,-5.3
-1.30621e-01,-5.3,-5.7
-1.30618e-01,-5.5,-5.3
-1.30614e-01,-5.5,-5.7
-1.30611e-01,-5.5,-5.3
-1.30608e-01,-5.5,-5.7
-1.30605e-01,-5.3,-5.3
-1.30602e-01,-5.3,-5.7
-1.30598e-01,-5.3,-5.3
-1.30595e-01,-5.3,-5.7
-1.30592e-01,-5.3,-5.1
-1.30589e-01,-5.3,-5.5
-1.30586e-01,-5.3,-5.1
-1.30582e-01,-5.3,-5.5
-1.30579e-01,-5.3,-5.1
-1.30576e-01,-5.3,-5.5
-1.30573e-01,-5.3,-5.1
-1.30570e-01,-5.5,-5.5
-1.30566e-01,-5.3,-5.1
-1.30563e-01,-5.3,-5.5
-1.30560e-01,-5.3,-5.1
-1.30557e-01,-5.3,-5.5
-1.30554e-01,-5.3,-5.1
-1.30550e-01,-5.3,-5.5
-1.30547e-01,-5.3,-5.1
-1.30544e-01,-5.3,-5.5
-1.30541e-01,-5.3,-5.1
-1.30538e-01,-5.3,-5.5
-1.30534e-01,-5.3,-5.1
-1.30531e-01,-5.3,-5.5
-1.30528e-01,-5.3,-5.1
-1.30525e-01,-5.3,-5.5
-1.30522e-01,-5.3,-5.1
-1.30518e-01,-5.3,-5.5
-1.30515e-01,-5.3,-5.1
-1.30512e-01,-5.3,-5.5
-1.30509e-01,-5.3,-5.1
-1.30506e-01,-5.3,-5.5
-1.30502e-01,-5.3,-5.1
-1.30499e-01,-5.3,-5.5
-1.30496e-01,-5.3,-5.1
-1.30493e-01,-5.3,-5.5
-1.30490e-01,-5.3,-5.1
-1.30486e-01,-5.3,-5.5
-1.30483e-01,-5.3,-5.1
-1.30480e-01,-5.3,-5.5
-1.30477e-01,-5.3,-5.1
-1.30474e-01,-5.5,-5.5
-1.30470e-01,-5.5,-5.1
-1.30467e-01,-5.5,-5.7
-1.30464e-01,-5.5,-5.1
-1.30461e-01,-5.5,-5.7
-1.30458e-01,-5.3,-5.3
-1.30454e-01,-5.5,-5.7
-1.30451e-01,-5.5,-5.3
-1.30448e-01,-5.5,-5.7
-1.30445e-01,-5.5,-5.3
-1.30442e-01,-5.5,-5.7
-1.30438e-01,-5.5,-5.3
-1.30435e-01,-5.5,-5.7
-1.30432e-01,-5.5,-5.3
-1.30429e-01,-5.5,-5.7
-1.30426e-01,-5.5,-5.3
-1.30422e-01,-5.5,-5.7
-1.30419e-01,-5.5,-5.3
-1.30416e-01,-5.5,-5.7
-1.30413e-01,-5.5,-5.3
-1.30410e-01,-5.3,-5.7
-1.30406e-01,-5.3,-5.3
-1.30403e-01,-5.5,-5.7
-1.30400e-01,-5.5,-5.1
-1.30397e-01,-5.3,-5.5
-1.30394e-01,-5.3,-5.3
-1.30390e-01,-5.3,-5.5
-1.30387e-01,-5.5,-5.3
-1.30384e-01,-5.3,-5.7
-1.30381e-01,-5.3,-5.1
-1.30378e-01,-5.5,-5.5
-1.30374e-01,-5.3,-5.1
-1.30371e-01,-5.5,-5.5
-1.30368e-01,-5.5,-5.1
-1.30365e-01,-5.3,-5.5
-1.30362e-01,-5.3,-5.1
-1.30358e-01,-5.3,-5.5
-1.30355e-01,-5.3,-5.1
-1.30352e-01,-5.3,-5.5
-1.30349e-01,-5.3,-5.1
-1.30346e-01,-5.3,-5.5
-1.30342e-01,-5.3,-5.1
-1.30339e-01,-5.3,-5.5
-1.30336e-01,-5.3,-5.1
-1.30333e-01,-5.3,-5.5
-1.30330e-01,-5.3,-5.1
-1.30326e-01,-5.3,-5.5
-1.30323e-01,-5.3,-5.1
-1.30320e-01,-5.3,-5.5
-1.30317e-01,-5.3,-5.1
-1.30314e-01,-5.3,-5.5
-1.30310e-01,-5.3,-5.1
-1.30307e-01,-5.3,-5.5
-1.30304e-01,-5.3,-5.1
-1.30301e-01,-5.3,-5.5
-1.30298e-01,-5.3,-5.1
-1.30294e-01,-5.3,-5.5
-1.30291e-01,-5.3,-5.1
-1.30288e-01,-5.3,-5.5
-1.30285e-01,-5.3,-5.1
-1.30282e-01,-5.5,-5.5
-1.30278e-01,-5.5,-5.1
-1.30275e-01,-5.5,-5.7
-1.30272e-01,-5.5,-5.1
-1.30269e-01,-5.5,-5.7
-1.30266e-01,-5.3,-5.3
